folio_i,folio_int,sexo,edad,peso,estatura,imc,muestra_suero,ac_urico,albu,col_hdl,col_ldl,colest,creat,glu_suero,insulina,trig,hb1ac,ponde_venosa,estrato,est_sel,ponde_hemo,riesgo_diabetes_cat,nombre_completo,nss,CURP,unidad_medica
2024_04003006,2024_04003006_02,Mujer,38,83.5,153.5,,1,4.7,3.5,30,92,134,0.51,158,39.1,237,,"1,380,537,842",3,43,"5,141,360,215",2,Sofia Hernandez Ramirez,46848771886,SOM36003006HDFRRA01,HGZ 1 - Centro
2024_04003023,2024_04003023_01,Hombre,50,58.75,168.6,,1,4.7,2.2,25,70,107,0.9,79,3.7,73,,"4,817,116,315",3,43,,0,Antonio Hernandez Ramirez,99988437394,ANH24003023HDFRRA01,Clínica 14 - Santa Fe
2024_04003040,2024_04003040_02,Mujer,70,,,,1,5.1,3,50,65,119,0.92,124,33.4,82,,"232,727,077",3,43,"1,576,828,855",2,Sofia Lopez Perez,65898387132,SOM28003040HDFRRA01,Clínica 14 - Santa Fe
2024_04003060,2024_04003060_01,Hombre,47,75.05,167.1,,1,4.5,3.5,30,92,170,0.71,189,15.7,688,,"9,511,683,479",3,43,,2,Antonio Martinez Cortes,21944141664,ANH98003060HDFRRA01,Unidad Médica Familiar 22
2024_04003074,2024_04003074_01,Hombre,32,68.35,166.5,,1,3.6,1.5,7,20,25,0.7,79,0.7,31,,"1,730,178,129",3,43,,0,Miguel Sanchez Sanchez,83885769580,MIH92003074HDFRRA01,Centro de Salud Urbano N01
2024_04003076,2024_04003076_04,Mujer,23,78.45,150.6,,1,4.1,3.4,46,71,116,0.57,85,9.9,59,,"2,313,196,766",3,43,"1,384,512,165",0,Martha Rodriguez Cortes,59788699528,MAM12003076HDFRRA01,Centro de Salud Urbano N01
2024_04003077,2024_04003077_01,Hombre,68,,,,1,4.8,3.1,39,98,137,0.71,138,4.5,112,,"3,803,556,584",3,43,"2,644,702,244",2,Javier Sanchez Perez,95839384504,JAH48003077HDFRRA01,Clínica 14 - Santa Fe
2024_04003082,2024_04003082_05,Mujer,20,71.75,153.6,,1,4.1,3.5,30,88,124,0.58,81,15.8,118,,"5,527,248,821",3,43,"4,220,212,989",0,Sofia Gonzalez Gonzalez,60766735969,SOM89003082HDFRRA01,Clínica 14 - Santa Fe
2024_04003099,2024_04003099_01,Hombre,53,91.65,171.9,,1,5.8,3.7,34,96,139,0.71,79,3.8,148,,"6,970,023,538",1,41,,0,Roberto Sanchez Martinez,85714824672,ROH87003099HDFRRA01,Unidad Médica Familiar 22
2024_04003099,2024_04003099_03,Mujer,24,99.6,171.3,,1,3.5,3.8,45,92,141,0.43,73,14,131,5,"2,453,027,831",1,41,"2,853,269,502",0,Beatriz Sanchez Gonzalez,93795913339,BEM44003099HDFRRA01,Centro de Salud Urbano N01
2024_04003103,2024_04003103_01,Hombre,45,102.75,173.8,,1,8.9,4.5,50,62,154,1,98,10.3,337,5,"2,221,794,655",1,41,,0,Juan Garcia Ramirez,35838089356,JUH28003103HDFRRA01,Clínica 14 - Santa Fe
2024_04003106,2024_04003106_01,Mujer,61,,,,1,4.2,2.8,37,58,115,0.44,77,12.5,205,,"2,713,021,875",1,41,"23,900,117",0,Maria Rodriguez Sanchez,81977982479,MAM27003106HDFRRA01,Unidad Médica Familiar 22
2024_04003109,2024_04003109_03,Mujer,22,47.25,148.4,,1,3.3,3,29,32,63,0.35,71,1.9,32,,"7,359,083,492",1,41,"8,559,808,507",0,Sofia Perez Rodriguez,61715554375,SOM48003109HDFRRA01,Clínica 14 - Santa Fe
2024_04003110,2024_04003110_02,Mujer,67,,,,1,3.2,3.1,39,92,148,0.47,85,9.9,159,,"9,468,052,887",1,41,"8,588,896,287",0,Ximena Gonzalez Perez,25887287411,XIM94003110HDFRRA01,Centro de Salud Urbano N01
2024_04003112,2024_04003112_01,Hombre,38,85.5,167.9,,1,5.1,2.7,23,47,82,0.53,141,8.3,143,,"1,431,261,428",1,41,,2,Luis Rodriguez Cortes,89794047809,LUH39003112HDFRRA01,Centro de Salud Urbano N01
2024_04003122,2024_04003122_02,Mujer,28,107.2,164.9,,1,4.9,3.2,30,66,107,0.42,63,7.5,96,,"4,740,659,682",1,41,"5,514,156,636",0,Beatriz Rodriguez Rodriguez,14928661871,BEM99003122HDFRRA01,Hospital Regional Sur
2024_30032003,2024_30032003_01,Mujer,39,77.75,146.6,,1,4.6,3.1,36,58,108,0.56,95,14.3,112,,"2,855,770,468",1,301,"2,594,259,459",0,Martha Ramirez Martinez,73856289301,MAM42032003HDFRRA01,Clínica 14 - Santa Fe
2024_30032010,2024_30032010_01,Hombre,48,69.25,165,,1,6.2,4.5,53,100,193,0.92,95,2.4,120,,"241,189,837",1,301,,0,Eduardo Lopez Garcia,76797091404,EDH34032010HDFRRA01,HGZ 1 - Centro
2024_30032010,2024_30032010_03,Hombre,24,68.35,157.2,,1,6.1,3.5,42,116,159,0.72,86,6.9,112,,"1,092,996,963",1,301,,0,Carlos Hernandez Cortes,99986825257,CAH99032010HDFRRA01,Clínica 14 - Santa Fe
2024_30032013,2024_30032013_01,Mujer,40,76.5,153.2,,1,3.7,3.4,42,65,108,0.49,95,12.3,81,,"3,884,361,246",1,301,"2,826,145,505",0,Gabriela Perez Lopez,83857124980,GAM30032013HDFRRA01,Hospital Regional Sur
2024_30032018,2024_30032018_02,Mujer,82,,,,1,3.4,3.2,40,68,128,0.47,79,5.6,104,,"2,576,349,748",1,301,"1,929,308,193",0,Isabel Gonzalez Hernandez,37754736925,ISM21032018HDFRRA01,Centro de Salud Urbano N01
2024_30032018,2024_30032018_03,Hombre,43,57.1,159,,1,3.7,3.3,30,81,147,0.47,84,2.7,150,,"5,886,372,035",1,301,,0,Eduardo Rodriguez Garcia,32729696096,EDH28032018HDFRRA01,Unidad Médica Familiar 22
2024_30032022,2024_30032022_02,Hombre,49,90.2,166.1,,1,6.1,3.2,19,44,132,1,169,13.6,394,,"5,802,184,863",1,301,,2,Antonio Ramirez Sanchez,27744328293,ANH87032022HDFRRA01,Centro de Salud Urbano N01
2024_30032023,2024_30032023_01,Hombre,71,,,,1,4.8,2.8,37,68,109,0.61,68,0.8,51,,"1,909,947,533",1,301,"2,653,450,124",0,Javier Gonzalez Rodriguez,30799127028,JAH17032023HDFRRA01,Centro de Salud Urbano N01
2024_11007016,2024_11007016_01,Mujer,54,70.75,162,,1,4.8,3.4,31,111,165,0.51,86,49.9,451,,"1,212,675,796",3,113,,0,Sofia Cortes Cortes,57989325867,SOM39007016HDFRRA01,Clínica 14 - Santa Fe
2024_27004011,2024_27004011_01,Mujer,66,,,,1,4.4,2.8,24,64,90,0.45,96,17.6,103,,"2,573,352,925",3,273,"3,657,233,732",0,Sofia Ramirez Garcia,15907996085,SOM90004011HDFRRA01,Clínica 14 - Santa Fe
2024_27004011,2024_27004011_03,Mujer,36,73,164.1,,1,5.1,3.2,25,60,104,0.45,83,10.1,204,,"1,069,919,646",3,273,"1,204,973,591",0,Beatriz Gonzalez Cortes,21714415057,BEM81004011HDFRRA01,HGZ 1 - Centro
2024_27004021,2024_27004021_01,Hombre,59,80.65,167,,1,4.8,2.5,25,111,144,0.53,102,10.4,140,,"1,161,774,452",3,273,,2,Raffael Rodriguez Rodriguez,60997097623,RAH45004021HDFRRA01,Unidad Médica Familiar 22
2024_27004021,2024_27004021_03,Mujer,43,56.05,150.9,,1,3.9,2.9,30,71,109,0.51,73,1.4,72,5,"1,266,816,199",3,273,"3,372,405,855",0,Martha Cortes Hernandez,57769918283,MAM59004021HDFRRA01,Unidad Médica Familiar 22
2024_27004023,2024_27004023_01,Hombre,39,116.15,170.4,40,1,5,3.5,27,96,129,0.84,98,25.1,123,,"164,707,035",3,273,,1,Ricardo Martinez Lopez,49768795887,RIH72004023HDFRRA01,Centro de Salud Urbano N01
2024_27004043,2024_27004043_02,Mujer,,69.2,160.8,,1,5,2.7,29,42,75,0.89,72,7.2,82,5,"4,021,546,091",3,273,"1,585,212,401",0,Martha Garcia Gonzalez,74985235973,MAM45004043HDFRRA01,Unidad Médica Familiar 22
2024_27004047,2024_27004047_02,Mujer,44,68.5,149,,1,4.1,3.3,32,78,152,0.5,78,6.7,207,5,"4,021,546,091",3,273,"1,585,212,401",0,Lucia Hernandez Lopez,41996197237,LUM40004047HDFRRA01,Unidad Médica Familiar 22
2024_27004055,2024_27004055_01,Hombre,34,97,163.5,,1,5.2,3.1,34,67,110,0.57,82,27.1,79,,"4,793,187,398",2,272,,0,Javier Ramirez Martinez,95855661043,JAH24004055HDFRRA01,Hospital Regional Sur
2024_27004055,2024_27004055_02,Mujer,79,,,,1,7.3,2.9,40,48,114,5.36,69,3.8,111,,"1,670,464,521",2,272,"1,171,724,251",0,Lucia Martinez Martinez,96966749971,LUM90004055HDFRRA01,Hospital Regional Sur
2024_27004059,2024_27004059_02,Mujer,32,90.7,154,,1,3.3,3.3,39,77,126,0.41,81,14.6,122,,"4,974,690,972",2,272,"3,211,548,936",0,Lucia Sanchez Martinez,44856573055,LUM92004059HDFRRA01,Clínica 14 - Santa Fe
2024_27004060,2024_27004060_01,Mujer,59,72.25,151.9,,1,3.4,3,46,124,184,0.42,75,5.2,133,,"1,670,464,521",2,272,,0,Isabel Lopez Martinez,16976032641,ISM16004060HDFRRA01,Unidad Médica Familiar 22
2024_27004087,2024_27004087_01,Hombre,43,95.35,172.1,,1,5.1,3.9,32,68,129,0.88,80,17.9,218,,"8,241,557,048",2,272,,0,Javier Martinez Rodriguez,61966990909,JAH54004087HDFRRA01,Unidad Médica Familiar 22
2024_27004088,2024_27004088_02,Mujer,42,62.05,150.6,,1,4,3.9,66,123,228,0.67,93,5.1,167,,"6,415,229,998",2,272,"3,286,927,482",0,Elena Ramirez Perez,41935385813,ELM62004088HDFRRA01,Unidad Médica Familiar 22
2024_27004099,2024_27004099_02,Mujer,54,65.8,148.1,30,1,3.6,3.7,49,104,172,0.5,88,4.8,142,,"6,884,681,393",1,271,,1,Gabriela Garcia Ramirez,42748184657,GAM75004099HDFRRA01,Centro de Salud Urbano N01
2024_27004101,2024_27004101_02,Mujer,44,65.45,144.6,,1,4.3,3.1,38,105,153,0.51,100,27.7,142,,"304,372,377",1,271,"1,835,633,482",2,Elena Garcia Gonzalez,81927587164,ELM80004101HDFRRA01,Centro de Salud Urbano N01
2024_27004102,2024_27004102_01,Mujer,76,,,,1,3.1,2.8,30,79,134,0.58,92,8,157,,"3,442,340,696",1,271,"2,048,656,666",0,Isabel Perez Gonzalez,56906727722,ISM82004102HDFRRA01,Clínica 14 - Santa Fe
2024_27004106,2024_27004106_02,Mujer,74,,,,1,5.3,3.2,37,89,133,0.48,183,5.4,115,,"6,884,681,393",1,271,"4,097,313,332",2,Martha Sanchez Perez,20955378107,MAM20004106HDFRRA01,Unidad Médica Familiar 22
2024_27004113,2024_27004113_02,Mujer,65,,,,1,4.1,3.9,58,108,179,0.7,88,15.5,132,,"1,861,526,819",1,271,"8,761,506,506",0,Isabel Martinez Hernandez,91944092077,ISM49004113HDFRRA01,Unidad Médica Familiar 22
2024_27004115,2024_27004115_01,Hombre,46,69.65,161.6,,1,7.7,3.2,28,96,173,0.82,90,7.9,389,,"6,468,447,988",1,271,,0,Javier Garcia Martinez,13765782713,JAH58004115HDFRRA01,Centro de Salud Urbano N01
2024_27004115,2024_27004115_03,Hombre,23,67.9,168.2,24,1,4.5,3.6,31,77,116,0.74,73,5.8,124,,"3,156,062,196",1,271,,0,Carlos Ramirez Sanchez,65738154786,CAH16004115HDFRRA01,Centro de Salud Urbano N01
2024_27004116,2024_27004116_01,Hombre,29,72.4,159.3,,1,4.8,2.6,32,108,162,0.84,68,13.6,384,,"1,192,618,111",1,271,,0,Javier Cortes Hernandez,78788217437,JAH41004116HDFRRA01,Clínica 14 - Santa Fe
2024_27004124,2024_27004124_01,Hombre,46,79.5,172.3,,1,3.9,3.7,33,105,157,0.71,79,3.1,126,,"6,468,447,988",1,271,,0,Juan Sanchez Hernandez,36978829773,JUH49004124HDFRRA01,Hospital Regional Sur
2024_27004124,2024_27004124_02,Mujer,37,100.5,164.3,,1,5.2,2.6,47,106,166,0.55,313,10.9,167,,"3,606,918,995",1,271,"5,141,821,356",2,Beatriz Lopez Rodriguez,92808955814,BEM96004124HDFRRA01,HGZ 1 - Centro
2024_27004126,2024_27004126_01,Hombre,67,,,,1,7.1,3,29,86,119,0.85,84,7.1,67,,"1,293,689,598",1,271,"9,132,794,834",0,Miguel Martinez Cortes,72705986789,MIH41004126HDFRRA01,Centro de Salud Urbano N01
2024_27004126,2024_27004126_03,Mujer,27,62.4,149.8,,1,4.8,3.1,25,53,89,0.39,73,6.4,92,,"9,545,101,302",1,271,"5,756,536,683",0,Gabriela Hernandez Perez,60895847162,GAM65004126HDFRRA01,Centro de Salud Urbano N01
2024_27004129,2024_27004129_02,Mujer,34,56.15,139.2,,1,3.6,3,42,80,148,0.51,82,11.1,293,,"9,545,101,302",1,271,"5,756,536,683",0,Sofia Martinez Garcia,22817551549,SOM65004129HDFRRA01,Centro de Salud Urbano N01
2024_27004130,2024_27004130_01,Mujer,54,69.8,154.5,,1,4.2,3.6,39,84,143,0.53,85,5.8,109,,"3,238,548,549",1,271,,0,Elena Cortes Hernandez,85855636737,ELM61004130HDFRRA01,HGZ 1 - Centro
2024_24008005,2024_24008005_02,Mujer,53,77.45,161.8,,1,5,3,30,59,104,0.56,102,11.4,173,,"5,311,303,096",2,242,,2,Ana Martinez Rodriguez,16875710317,ANM43008005HDFRRA01,HGZ 1 - Centro
2024_24008009,2024_24008009_01,Mujer,43,102.6,165.3,,1,4.6,3.3,36,89,154,0.55,116,27.5,169,6,"2,655,690,929",2,242,"1,165,553,622",2,Lucia Ramirez Garcia,89849914246,LUM56008009HDFRRA01,Clínica 14 - Santa Fe
2024_24008009,2024_24008009_02,Mujer,69,,,,1,4.9,3.1,36,78,137,0.76,83,5.5,132,,"6,414,299,435",2,242,"1,524,901,593",0,Ana Sanchez Martinez,99969092673,ANM71008009HDFRRA01,Hospital Regional Sur
2024_24008010,2024_24008010_02,Mujer,41,58.35,154.5,,1,3.5,3,38,106,133,0.8,85,5.3,52,,"5,311,381,859",2,242,"2,331,107,244",0,Ana Gonzalez Gonzalez,97909913311,ANM85008010HDFRRA01,HGZ 1 - Centro
2024_24008014,2024_24008014_01,Hombre,61,,,,1,7.8,3.5,39,164,246,0.87,91,21,308,,"8,400,094,283",2,242,"7,562,256,611",0,Roberto Cortes Hernandez,43818174499,ROH28008014HDFRRA01,HGZ 1 - Centro
2024_04004003,2024_04004003_01,Hombre,43,66,159,,1,4.6,3,29,96,128,0.7,98,3.8,96,,"5,975,171,412",2,42,,0,Eduardo Perez Sanchez,46706518105,EDH32004003HDFRRA01,Hospital Regional Sur
2024_04004004,2024_04004004_02,Mujer,55,76.45,142.8,,1,5.9,3.4,47,125,172,0.37,104,11.4,92,,"3,186,241,124",2,42,,2,Martha Gonzalez Rodriguez,48924319113,MAM87004004HDFRRA01,Hospital Regional Sur
2024_04004007,2024_04004007_01,Hombre,53,61.65,151.8,,1,4.1,3.4,39,103,158,0.7,85,3.9,218,,"2,199,215,348",2,42,,0,Eduardo Garcia Sanchez,67756458208,EDH16004007HDFRRA01,Clínica 14 - Santa Fe
2024_04004015,2024_04004015_01,Mujer,52,86.8,152.4,,1,4.5,3.1,35,111,151,0.51,92,11.4,98,,"1,593,120,562",2,42,,0,Beatriz Hernandez Garcia,28937097811,BEM34004015HDFRRA01,Unidad Médica Familiar 22
2024_04004015,2024_04004015_03,Hombre,26,79.2,168.5,,1,7.6,4,41,98,148,0.97,59,4,95,,"1,058,540,343",2,42,,0,Carlos Lopez Garcia,90834663127,CAH56004015HDFRRA01,Clínica 14 - Santa Fe
2024_04004020,2024_04004020_01,Hombre,78,,,,1,5.9,3.6,31,90,140,0.81,89,3.7,124,,"2,568,781,895",2,42,"3,222,545,111",0,Juan Lopez Sanchez,28826837011,JUH23004020HDFRRA01,Centro de Salud Urbano N01
2024_04004025,2024_04004025_01,Hombre,50,70.1,160.1,,1,6.8,3.2,25,41,78,0.81,82,8.9,125,,"2,739,113,311",2,42,,0,Roberto Gonzalez Martinez,11719863665,ROH53004025HDFRRA01,Centro de Salud Urbano N01
2024_04004025,2024_04004025_03,Mujer,31,45.5,144.5,,1,3.9,2.6,19,49,98,0.3,73,6,225,,"1,835,245,037",2,42,"2,144,391,802",0,Gabriela Sanchez Garcia,83755882375,GAM27004025HDFRRA01,Unidad Médica Familiar 22
2024_04004028,2024_04004028_01,Hombre,53,67.7,157.7,,1,5.7,3.2,33,106,173,0.67,85,4,278,,"1,369,556,656",2,42,,0,Juan Garcia Garcia,92745729330,JUH23004028HDFRRA01,HGZ 1 - Centro
2024_04004028,2024_04004028_02,Mujer,39,67.7,145,,1,4.9,3,53,85,154,0.77,69,10.7,144,9,"3,107,837,245",2,42,"4,632,436,787",2,Beatriz Ramirez Lopez,91736240580,BEM75004028HDFRRA01,Clínica 14 - Santa Fe
2024_13018002,2024_13018002_01,Mujer,63,,,,1,5.5,3.1,29,92,137,0.7,85,21.4,145,,"6,286,547,063",1,131,"9,533,770,707",0,Elena Sanchez Cortes,99968711580,ELM21018002HDFRRA01,Centro de Salud Urbano N01
2024_13018002,2024_13018002_02,Mujer,41,64.5,158.4,,1,4,3.5,32,83,124,0.52,91,7.3,148,,"2,169,538,118",1,131,"1,952,131,485",0,Gabriela Rodriguez Garcia,20889343779,GAM17018002HDFRRA01,Unidad Médica Familiar 22
2024_13018011,2024_13018011_01,Hombre,77,,,,1,5.1,2.9,33,46,87,0.93,88,6.2,52,,"2,974,288,628",1,131,"370,881,115",0,Miguel Martinez Perez,21838880718,MIH71018011HDFRRA01,Hospital Regional Sur
2024_13018014,2024_13018014_01,Mujer,74,,,,1,4.9,3.4,35,110,172,0.62,85,5.4,224,,"1,257,309,413",1,131,"1,906,754,141",0,Sofia Perez Lopez,70734528652,SOM65018014HDFRRA01,Clínica 14 - Santa Fe
2024_13018016,2024_13018016_03,Mujer,46,60.3,145,,1,2.3,2.9,36,80,123,0.43,266,3.1,149,,"1,885,964,119",1,131,"4,048,664,654",2,Martha Garcia Rodriguez,82975377750,MAM20018016HDFRRA01,Centro de Salud Urbano N01
2024_13018027,2024_13018027_01,Mujer,45,63.15,151,,1,4.4,3.8,43,77,129,0.55,85,5,80,,"2,073,793,648",1,131,"3,045,882,616",0,Lucia Cortes Garcia,57817296581,LUM82018027HDFRRA01,Hospital Regional Sur
2024_07027015,2024_07027015_01,Mujer,40,72.25,149,,1,3.8,2.8,41,76,120,0.57,72,13.7,97,,"781,073,081",2,72,"5,026,803,387",0,Maria Lopez Gonzalez,13775818596,MAM64027015HDFRRA01,HGZ 1 - Centro
2024_07027028,2024_07027028_01,Mujer,75,,,,1,4.1,2.9,32,61,107,0.65,78,9.7,106,,"3,900,158,484",2,72,"35,376,077",0,Gabriela Garcia Hernandez,88857984056,GAM34027028HDFRRA01,Clínica 14 - Santa Fe
2024_08019009,2024_08019009_01,Mujer,82,,,,1,5.8,4.3,43,166,253,1.47,127,5.9,218,,"2,707,737,387",3,83,"7,163,831,717",2,Ximena Gonzalez Gonzalez,23915744304,XIM52019009HDFRRA01,Unidad Médica Familiar 22
2024_08019013,2024_08019013_01,Mujer,66,,,,1,5.4,4.3,47,152,198,0.7,111,22.7,90,,"4,282,797,745",3,83,"1,219,418,688",2,Lucia Hernandez Lopez,51988326814,LUM33019013HDFRRA01,Centro de Salud Urbano N01
2024_08019014,2024_08019014_01,Mujer,61,,,,1,4.8,3.8,31,143,220,0.74,72,10.6,505,,,3,83,"7,163,831,717",0,Ana Martinez Hernandez,13735239968,ANM69019014HDFRRA01,Unidad Médica Familiar 22
2024_08019019,2024_08019019_02,Mujer,61,,,30,1,4.5,3.9,62,153,223,0.63,101,66.2,109,,"8,788,614,852",3,83,"2,502,336,516",2,Ana Sanchez Martinez,69787112201,ANM73019019HDFRRA01,Unidad Médica Familiar 22
2024_08019021,2024_08019021_01,Hombre,61,,,,1,4.7,3.8,36,107,154,0.96,92,3.3,101,,"8,294,950,971",3,83,"4,403,775,543",0,Raffael Gonzalez Perez,89854147239,RAH84019021HDFRRA01,Hospital Regional Sur
2024_08019055,2024_08019055_01,Hombre,28,104.7,177.3,,1,9.2,4.3,38,121,190,0.97,83,5.9,312,,"5,256,703,043",3,83,,0,Miguel Lopez Sanchez,67968942660,MIH99019055HDFRRA01,Clínica 14 - Santa Fe
2024_08019079,2024_08019079_01,Hombre,49,98.65,176.5,,1,4.4,4.1,46,97,150,0.74,92,8.1,91,,"4,706,290,709",3,83,,0,Raffael Rodriguez Sanchez,58878396107,RAH91019079HDFRRA01,HGZ 1 - Centro
2024_08019079,2024_08019079_02,Mujer,44,90.3,165.5,,1,3.7,4.3,53,143,213,0.54,79,11,180,,"2,938,151,052",3,83,"302,896,013",0,Ximena Garcia Martinez,15758844709,XIM53019079HDFRRA01,Unidad Médica Familiar 22
2024_08019081,2024_08019081_01,Hombre,39,66.8,159.6,,1,6.6,4.7,35,129,185,1.06,65,53.7,199,,,3,83,,0,Carlos Martinez Ramirez,47977940679,CAH81019081HDFRRA01,Unidad Médica Familiar 22
2024_07031011,2024_07031011_01,Hombre,71,,,,1,4.8,3.4,23,68,131,0.71,78,9,368,,"2,228,505,613",1,71,"1,479,460,651",0,Ricardo Garcia Sanchez,41954772506,RIH48031011HDFRRA01,Clínica 14 - Santa Fe
2024_07031019,2024_07031019_02,Mujer,58,70.25,141.6,,1,7.1,4,46,92,189,0.63,95,25.2,333,,"17064,99",1,71,,0,Gabriela Garcia Ramirez,51794363758,GAM82031019HDFRRA01,Hospital Regional Sur
2024_07031019,2024_07031019_04,Mujer,,55.05,146.8,,1,4.3,4,57,151,221,0.55,74,3.7,114,,"2,010,492,154",1,71,"1,230,259,161",0,Martha Sanchez Garcia,40734498850,MAM99031019HDFRRA01,Unidad Médica Familiar 22
2024_07031020,2024_07031020_02,Mujer,30,65.55,149.4,,1,4,4.3,50,97,163,0.47,83,4.6,90,,"2,010,492,154",1,71,"1,230,259,161",0,Maria Gonzalez Cortes,36825753810,MAM56031020HDFRRA01,Clínica 14 - Santa Fe
2024_07031031,2024_07031031_02,Mujer,49,57.1,147.3,,1,4.7,3.8,46,115,203,0.42,77,9.8,277,,"17064,99",1,71,"9,063,052,761",0,Gabriela Martinez Garcia,45837561579,GAM55031031HDFRRA01,Clínica 14 - Santa Fe
2024_07031031,2024_07031031_03,Mujer,27,66.3,150,,1,4.5,4.3,26,62,141,0.6,87,9.6,427,,"1,005,246,077",1,71,"6,151,295,805",0,Isabel Perez Lopez,78764476039,ISM40031031HDFRRA01,Hospital Regional Sur
2024_07031034,2024_07031034_01,Mujer,49,76,150.5,,1,5.3,4,62,90,167,0.47,108,13.2,140,,"5,251,198,631",1,71,"3,880,178,691",2,Beatriz Hernandez Hernandez,85905857016,BEM25031034HDFRRA01,Clínica 14 - Santa Fe
2024_07031034,2024_07031034_03,Mujer,27,65.5,157.5,,1,5.5,4.5,47,66,124,0.62,82,5.4,117,,"2,010,492,154",1,71,"1,230,259,161",0,Lucia Sanchez Lopez,84719285241,LUM44031034HDFRRA01,HGZ 1 - Centro
2024_12029012,2024_12029012_01,Mujer,58,77.4,154.8,,1,3.2,3.5,46,84,148,0.54,100,13,121,,"1,866,636,876",3,123,,2,Isabel Perez Garcia,23885098705,ISM91029012HDFRRA01,Hospital Regional Sur
2024_12029021,2024_12029021_02,Mujer,34,88.5,153,,1,5.9,4.2,24,81,125,0.69,98,25.3,171,,"3,945,969,778",3,123,"526,620,937",0,Martha Gonzalez Gonzalez,41927712516,MAM90029021HDFRRA01,Hospital Regional Sur
2024_12029028,2024_12029028_01,Mujer,70,,,,1,4.4,3.1,51,112,186,0.82,93,8,144,,"364,551,144",3,123,"4,090,715,074",0,Lucia Lopez Gonzalez,77718970545,LUM64029028HDFRRA01,Hospital Regional Sur
2024_12029028,2024_12029028_02,Hombre,36,88.55,161.9,,1,7.1,4.9,37,50,157,1.1,94,16.8,206,,"2,561,549,078",3,123,,0,Miguel Lopez Sanchez,63859376712,MIH83029028HDFRRA01,Unidad Médica Familiar 22
2024_14032004,2024_14032004_01,Hombre,72,,,,1,4.4,3,37,62,105,0.6,92,6.4,70,,"3,332,535,894",2,142,"2,234,382,317",0,Juan Martinez Martinez,79735327712,JUH39032004HDFRRA01,Unidad Médica Familiar 22
2024_14032008,2024_14032008_01,Hombre,39,107.2,165.3,,1,5.8,3.9,34,115,155,0.85,117,27.2,142,,"8,086,151,843",2,142,,2,Antonio Lopez Sanchez,26966490269,ANH58032008HDFRRA01,HGZ 1 - Centro
2024_14032014,2024_14032014_01,Mujer,30,58.6,155.1,,1,3.4,3.4,44,106,156,0.5,108,11.9,147,,"2,473,929,766",2,142,"2,817,215,847",2,Maria Lopez Hernandez,92997799828,MAM28032014HDFRRA01,Clínica 14 - Santa Fe
2024_14032023,2024_14032023_01,Mujer,46,61.2,162.1,,1,5.1,2.8,35,86,126,0.56,88,17.1,117,,"4,605,519,411",2,142,"3,998,917,055",0,Ximena Gonzalez Garcia,84817415796,XIM33032023HDFRRA01,HGZ 1 - Centro
2024_14032025,2024_14032025_01,Hombre,61,,,,1,7.8,3.1,30,88,156,0.67,102,12.3,484,,"6,004,735,972",2,142,"4,026,025,915",2,Juan Perez Cortes,79709372437,JUH47032025HDFRRA01,Clínica 14 - Santa Fe
2024_14032025,2024_14032025_03,Hombre,36,78.15,163.8,,1,4,3.2,37,67,111,0.61,95,6.7,112,,"1,150,746,649",2,142,,0,Raffael Martinez Cortes,27775018923,RAH69032025HDFRRA01,Hospital Regional Sur
2024_31023009,2024_31023009_01,Hombre,64,,,,1,4.1,3.9,34,64,158,0.69,158,29,514,,"7,949,841,653",2,312,"3,084,168,486",2,Eduardo Rodriguez Lopez,53994746479,EDH72023009HDFRRA01,HGZ 1 - Centro
2024_31023011,2024_31023011_01,Hombre,85,,,,1,6.9,2.9,27,56,98,0.96,85,5.9,88,,"1,589,968,331",2,312,"6,168,336,973",0,Javier Hernandez Perez,13898157207,JAH77023011HDFRRA01,Centro de Salud Urbano N01
2024_31023015,2024_31023015_02,Hombre,46,75.6,160.1,,1,5.3,3.3,27,49,90,0.67,89,10.5,156,,"1,759,984,548",2,312,,0,Raffael Cortes Lopez,63757169229,RAH50023015HDFRRA01,Centro de Salud Urbano N01
2024_31023015,2024_31023015_04,Mujer,33,65.55,140.2,,1,5.7,4,46,76,130,0.68,94,10,122,,"1,595,263,894",2,312,"1,021,214,383",0,Beatriz Hernandez Cortes,83727467430,BEM85023015HDFRRA01,Centro de Salud Urbano N01
2024_31023032,2024_31023032_01,Hombre,40,83.85,155.1,,1,5.3,3.1,29,65,131,0.81,76,2.7,168,,"1,462,813,095",2,312,,0,Carlos Lopez Martinez,99955123472,CAH22023032HDFRRA01,HGZ 1 - Centro
2024_31023037,2024_31023037_02,Mujer,64,,,,1,5,3,32,106,182,0.63,174,7.7,248,,"1,125,934,409",2,312,"5,794,526,307",2,Ximena Ramirez Martinez,79987356208,XIM55023037HDFRRA01,Hospital Regional Sur
2024_31023037,2024_31023037_04,Hombre,31,87.2,158.5,,1,8.8,3.4,37,79,127,0.89,93,9.2,92,,"2,097,770,428",2,312,,0,Raffael Ramirez Ramirez,24778998316,RAH17023037HDFRRA01,HGZ 1 - Centro
2024_31023041,2024_31023041_04,Mujer,86,,,,1,6.6,3.5,40,85,157,0.5,84,4.7,205,,"2,251,868,817",2,312,"1,158,905,261",0,Beatriz Garcia Cortes,80858184935,BEM26023041HDFRRA01,Unidad Médica Familiar 22
